Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,0.0005
step,rew_mean,len_mean,episode_count
427000,-20.67,1109.97,1504
428000,-20.67,1112.5,1508
429000,-20.7,1109.16,1512
430000,-20.68,1110.19,1514
431000,-20.69,1110.51,1518
432000,-20.71,1111.11,1522
433000,-20.71,1109.41,1526
434000,-20.69,1110.1,1530
435000,-20.69,1110.2,1534
436000,-20.69,1108.66,1537
437000,-20.64,1116.79,1540
438000,-20.64,1117.91,1543
439000,-20.62,1119.46,1546
440000,-20.62,1122.36,1550
441000,-20.62,1123.29,1554
442000,-20.62,1119.17,1558
443000,-20.63,1117.33,1562
444000,-20.63,1113.26,1565
445000,-20.63,1107.72,1569
446000,-20.65,1102.43,1573
447000,-20.67,1101.85,1576
448000,-20.67,1105.78,1580
449000,-20.67,1106.19,1583
450000,-20.65,1104.73,1587
451000,-20.68,1102.68,1591
452000,-20.68,1102.44,1595
453000,-20.68,1101.03,1598
454000,-20.67,1102.54,1602
455000,-20.67,1103.54,1606
456000,-20.68,1101.3,1610
457000,-20.68,1101.27,1614
458000,-20.68,1100.92,1616
459000,-20.68,1101.95,1620
460000,-20.67,1102.01,1624
461000,-20.66,1102.32,1628
462000,-20.67,1102.45,1631
463000,-20.66,1100.88,1635
464000,-20.66,1101.37,1638
465000,-20.69,1096.64,1642
466000,-20.72,1092.32,1645
467000,-20.73,1090.44,1649
468000,-20.7,1092.6,1653
469000,-20.7,1091.12,1657
470000,-20.71,1087.05,1661
471000,-20.71,1086.01,1665
472000,-20.71,1088.92,1669
473000,-20.72,1089.91,1672
474000,-20.7,1093.38,1675
475000,-20.69,1091.19,1679
476000,-20.7,1089.55,1683
477000,-20.71,1088.94,1687
478000,-20.71,1088.41,1690
479000,-20.71,1090.17,1693
480000,-20.7,1096.87,1697
481000,-20.73,1094.15,1701
482000,-20.72,1093.55,1704
483000,-20.73,1093.21,1707
484000,-20.7,1096.99,1711
485000,-20.71,1096.96,1715
486000,-20.7,1094.16,1719
487000,-20.7,1093.16,1723
488000,-20.72,1093.04,1727
489000,-20.71,1094.93,1731
490000,-20.72,1092.56,1734
491000,-20.72,1092.54,1737
492000,-20.73,1094.26,1740
493000,-20.69,1099.36,1743
494000,-20.69,1101.7,1747
495000,-20.7,1100.46,1751
496000,-20.72,1101.11,1755
497000,-20.72,1101.77,1759
498000,-20.72,1102.16,1763
499000,-20.73,1102.62,1766
500000,-20.74,1099.37,1770
501000,-20.75,1097.78,1774
502000,-20.77,1095.61,1777
503000,-20.76,1098.1,1780
504000,-20.77,1100.67,1784
505000,-20.75,1102.02,1788
506000,-20.75,1104.03,1791
507000,-20.74,1103.84,1795
508000,-20.73,1103.48,1799
509000,-20.73,1105.71,1803
510000,-20.73,1105.02,1807
511000,-20.74,1101.19,1810
