Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,5e-05
step,rew_mean,len_mean,episode_count
428000,-14.93,3296.24,837
429000,-14.96,3300.23,839
430000,-15.01,3310.39,841
431000,-15.01,3310.39,841
432000,-14.97,3312.22,842
433000,-14.93,3321.05,843
434000,-14.92,3336.25,845
435000,-14.96,3323.01,846
436000,-14.88,3330.95,847
437000,-14.87,3324.47,848
438000,-14.87,3324.47,848
439000,-14.82,3330.4,850
440000,-14.78,3338.44,852
441000,-14.8,3334.04,853
442000,-14.84,3330.34,854
443000,-14.86,3333.89,855
444000,-14.85,3340.35,856
445000,-14.91,3339.12,858
446000,-14.91,3339.12,858
447000,-14.93,3343.9,859
448000,-14.95,3343.22,861
449000,-14.99,3343.24,862
450000,-14.99,3349.66,863
451000,-14.99,3342.97,864
452000,-14.98,3348.87,865
453000,-14.93,3368.91,866
454000,-14.93,3368.91,866
455000,-14.9,3366.81,867
456000,-14.83,3398.85,869
457000,-14.76,3410.56,870
458000,-14.76,3410.56,870
459000,-14.79,3422.79,872
460000,-14.73,3430.62,873
461000,-14.73,3430.62,873
462000,-14.72,3433.26,874
463000,-14.75,3431.66,876
464000,-14.76,3426.43,877
465000,-14.76,3426.43,877
466000,-14.76,3433.96,878
467000,-14.66,3461.95,881
468000,-14.66,3461.95,881
469000,-14.66,3461.95,881
470000,-14.7,3465.46,883
471000,-14.73,3475.7,885
472000,-14.73,3475.7,885
473000,-14.73,3475.7,885
474000,-14.69,3500.34,887
475000,-14.66,3516.56,889
476000,-14.66,3516.56,889
477000,-14.71,3512.8,890
478000,-14.73,3532.74,893
479000,-14.73,3532.74,893
480000,-14.73,3532.74,893
481000,-14.61,3560.7,896
482000,-14.54,3573.07,897
483000,-14.54,3573.07,897
484000,-14.51,3594.51,899
485000,-14.51,3594.51,899
486000,-14.39,3629.49,901
487000,-14.39,3629.49,901
488000,-14.32,3642.17,903
489000,-14.31,3639.64,904
490000,-14.31,3639.64,904
491000,-14.32,3647.09,906
492000,-14.34,3647.28,908
493000,-14.34,3647.28,908
494000,-14.34,3647.28,908
495000,-14.31,3665.22,910
496000,-14.33,3676.6,912
497000,-14.33,3676.6,912
498000,-14.34,3674.38,913
499000,-14.33,3675.87,914
500000,-14.26,3699.12,916
501000,-14.27,3694.8,917
502000,-14.27,3694.8,917
503000,-14.19,3693.07,919
504000,-14.14,3703.32,920
505000,-14.08,3699.64,921
506000,-13.99,3696.56,923
507000,-13.99,3696.56,923
508000,-13.98,3682.62,924
509000,-14.02,3683.56,926
510000,-13.95,3688.3,927
511000,-13.96,3687.34,928
512000,-13.89,3687.37,929
513000,-13.92,3684.85,931
514000,-14.0,3674.68,932
515000,-14.0,3674.68,932
516000,-14.03,3675.29,933
517000,-14.0,3697.94,935
518000,-13.97,3708.53,936
519000,-13.97,3708.53,936
520000,-13.98,3702.14,937
521000,-13.89,3701.46,939
522000,-13.89,3697.18,940
523000,-13.91,3687.02,941
524000,-13.98,3676.89,944
525000,-13.98,3676.89,944
526000,-13.98,3676.89,944
527000,-13.95,3673.51,945
528000,-13.91,3687.23,948
529000,-13.91,3687.23,948
530000,-13.96,3675.82,949
531000,-14.0,3671.36,950
532000,-13.99,3675.71,951
533000,-13.91,3685.68,952
534000,-13.91,3685.68,952
535000,-13.84,3707.87,954
536000,-13.76,3719.18,955
